USERNAME|REQUESTDATE|HASHTAG
Teradata|2013-03-09|#Analytics
Teradata|2013-03-09|#forrester
Teradata|2013-03-09|#teradata
Teradata|2013-03-09|#tdlive
Teradata|2013-03-09|#chat
TECOEnergy|2013-03-09|#JA
Newmont|2013-03-09|#Newmont
Newmont|2013-03-09|#mining
TXInstruments|2013-03-09|#LaunchPad
TXInstruments|2013-03-09|#SXSWCreate
MonsterEnergy|2013-03-09|#becomemonster
NASDAQ|2013-03-09|#nasdaq
Starbucks|2013-03-09|#cherish
scrippscomm|2013-03-09|#SXSW
SAICinc|2013-03-09|#omgrobots
SAICinc|2013-03-09|#firstrobotics
ThePrincipal|2013-03-09|#Sequester
nvidia|2013-03-09|#GTC
Nike|2013-03-09|#makeitcount
SherwinWilliams|2013-03-09|#SpringColorForward
SouthernCompany|2013-03-09|#nuclear
ProcterGamble|2013-03-09|#HalftheSky
ProcterGamble|2013-03-09|#IWD
PetSmart|2013-03-09|#sale
PetSmart|2013-03-09|#Save
PGE4Me|2013-03-09|#nuclear
PGE4Me|2013-03-09|#CCNTH
nscorp|2013-03-09|#brilliantmachines
TSYS_TSS|2013-03-09|#weloveourworkplace
TSYS_TSS|2013-03-09|#GPTW
Raytheon|2013-03-09|#STEM
MetroPCS|2013-03-09|#HappyFriday
sprint|2013-03-09|#IWD
priceline|2013-03-09|#travel
nwlrubbermaid|2013-03-09|#women
nwlrubbermaid|2013-03-09|#IWD
Seagate|2013-03-09|#SXSW
northropgrumman|2013-03-09|#JWST
TWC|2013-03-09|#Bond
Stericycle_Inc|2013-03-09|#Infectious
Stericycle_Inc|2013-03-09|#medical
Stericycle_Inc|2013-03-09|#waste
Sysco_Corp|2013-03-09|#Sysco
Sysco_Corp|2013-03-09|#sharebreakfast
nrgenergy|2013-03-09|#solar
StateStreet|2013-03-09|#FFAsia
Microsoft|2013-03-09|#SanAntonio
PepsiCo|2013-03-09|#SXSW
TysonFoods|2013-03-09|#ACTPDC
VERISIGN|2013-03-09|#cybersecurity
VERISIGN|2013-03-09|#malware
Zimmer|2013-03-09|#HappyFriday
Zimmer|2013-03-09|#comeback
washingtonpost|2013-03-09|#Kabul
washingtonpost|2013-03-09|#Hagel
xcelenergy|2013-03-09|#COWX
Verizon|2013-03-09|#FiOSTV
XLCenter|2013-03-09|#Hartford
XLCenter|2013-03-09|#BEWBB
XylemInc|2013-03-09|#WorldWaterDay
XylemInc|2013-03-09|#WWDCountdown
DisneyPost|2013-03-09|#FantasyFaire
Windstream|2013-03-09|#NewsDesk
XilinxInc|2013-03-09|#FPGA
WasteManagement|2013-03-09|#WomensDay
WasteManagement|2013-03-09|#thinkgreen
WesternDigital|2013-03-09|#WDsupport
Viacom|2013-03-09|#DeutscheBank
Viacom|2013-03-09|#Media
Viacom|2013-03-09|#Conference
WesternUnion|2013-03-09|#womensday
WesternUnion|2013-03-09|#CSRwomen
WPXEnergy|2013-03-09|#CO
WPXEnergy|2013-03-09|#natgas
Yahoo|2013-03-09|#sxsw
